Frame Index,Thread ID,Completion Time,Finger Tip X,Finger Tip Y,Depth Value
0,1,699.849462,None,None,None
1,2,699.868811,None,None,None
2,0,699.868974,None,None,None
3,3,699.869073,None,None,None
4,2,700.198919,None,None,None
5,1,700.201904,None,None,None
6,3,700.202386,None,None,None
7,0,700.204738,None,None,None
8,2,700.358129,None,None,None
9,3,700.460191,None,None,None
10,1,700.471226,None,None,None
11,0,700.474530,None,None,None
12,2,700.546738,None,None,None
13,3,700.627875,None,None,None
14,1,700.691308,None,None,None
15,0,700.753062,None,None,None
16,2,700.826703,None,None,None
17,1,700.904122,None,None,None
18,0,700.979334,None,None,None
19,2,701.051173,None,None,None
20,1,701.117291,None,None,None
21,0,701.191208,None,None,None
22,2,701.267105,None,None,None
23,3,701.338444,None,None,None
24,1,701.400444,None,None,None
25,0,701.472275,None,None,None
26,2,701.543603,None,None,None
27,3,701.620620,None,None,None
28,1,701.685755,None,None,None
29,0,701.762741,None,None,None
30,2,701.830106,None,None,None
31,3,701.914055,None,None,None
32,1,701.973108,None,None,None
33,0,702.043216,None,None,None
34,2,702.127114,None,None,None
35,3,702.200879,None,None,None
36,1,702.274106,None,None,None
37,0,702.345401,None,None,None
38,2,702.419926,None,None,None
39,3,702.488377,None,None,None
40,1,702.560568,None,None,None
41,0,702.630734,None,None,None
42,2,702.702126,None,None,None
43,3,702.774031,None,None,None
44,1,702.849679,None,None,None
45,2,703.083629,None,None,None
46,0,703.084996,None,None,None
47,3,703.085147,None,None,None
48,1,703.182816,None,None,None
49,2,703.321839,None,None,None
50,0,703.339629,None,None,None
51,3,703.340091,None,None,None
52,1,703.420449,None,None,None
53,2,703.497815,None,None,None
54,0,703.618516,None,None,None
55,3,703.619428,None,None,None
56,1,703.691898,None,None,None
57,2,703.773751,None,None,None
58,0,703.847238,None,None,None
59,1,703.916475,None,None,None
60,2,703.991863,None,None,None
61,3,704.090733,None,None,None
62,0,704.131644,None,None,None
63,1,704.203885,None,None,None
64,2,704.278060,None,None,None
65,3,704.352856,None,None,None
66,0,704.416555,None,None,None
67,1,704.487435,None,None,None
68,2,704.562938,None,None,None
69,3,704.676642,None,None,None
70,0,704.701945,None,None,None
71,1,704.773646,716.1071166992188,619.4301147460938,None
72,2,704.848685,722.49462890625,585.5359497070312,None
73,3,704.925559,781.5335693359375,526.5768432617188,None
74,0,704.986066,None,None,None
75,1,705.058162,743.458251953125,553.2863159179688,None
76,2,705.127592,None,None,None
77,0,705.193102,768.0606689453125,524.5206298828125,None
78,1,705.271779,782.1222534179688,521.633544921875,None
79,2,705.344745,None,None,None
80,0,705.413241,632.50146484375,447.9004821777344,None
81,1,705.486861,587.0383911132812,331.0110778808594,None
82,2,705.555399,596.3031616210938,311.0514831542969,None
83,0,705.626571,602.0631103515625,299.0804443359375,None
84,1,705.698587,626.3726806640625,297.970703125,None
85,2,705.767617,669.977783203125,313.81085205078125,None
86,0,705.841647,None,None,None
87,1,705.921112,None,None,None
88,2,705.991631,None,None,None
89,3,706.069914,None,None,None
90,0,706.125426,802.6041259765625,274.0120849609375,None
91,1,706.196158,None,None,None
92,2,706.268947,768.3875732421875,345.31915283203125,None
93,3,706.347350,1021.2811889648438,319.4225769042969,None
94,0,706.411125,None,None,None
95,1,706.481884,986.130126953125,343.57952880859375,None
96,2,706.553256,982.28515625,318.385986328125,None
97,3,706.632958,1115.769287109375,312.8143310546875,None
98,0,706.695185,1044.976318359375,335.2828674316406,None
99,1,706.764785,1071.617431640625,301.1430358886719,None
100,2,706.839559,1100.646240234375,319.8340148925781,None
101,3,706.919710,948.528076171875,416.20880126953125,None
102,0,706.988432,1115.697021484375,314.86724853515625,None
103,1,707.064512,1108.799560546875,312.0279541015625,None
104,2,707.138326,1087.125732421875,276.7782287597656,None
105,3,707.203795,985.9884033203125,241.3011932373047,None
106,0,707.273989,900.5947265625,420.7505798339844,None
107,1,707.346930,971.8944091796875,185.66986083984375,None
108,2,707.417376,995.33984375,212.4049072265625,None
109,3,707.489540,951.7590942382812,224.79183959960938,None
110,0,707.558608,883.09033203125,237.14413452148438,None
111,1,707.636164,860.9398803710938,240.92405700683594,None
112,3,707.865265,813.7769775390625,291.16021728515625,None
113,0,707.865535,None,None,None
114,2,707.865831,836.1058349609375,263.9850158691406,None
115,1,707.930557,734.7547607421875,284.065185546875,None
116,0,707.992392,830.8787841796875,507.2552490234375,None
117,2,708.115858,None,None,None
118,3,708.116184,None,None,None
119,1,708.188752,811.778564453125,506.1895446777344,None
120,0,708.262131,810.4910888671875,511.0904235839844,None
121,2,708.340047,813.5571899414062,518.8719482421875,None
122,1,708.411455,827.2939453125,524.2291259765625,None
123,0,708.483276,830.6299438476562,524.8126220703125,None
124,2,708.555765,816.799560546875,518.7867431640625,None
125,1,708.627455,817.8168334960938,523.4793701171875,None
126,0,708.699406,813.7976684570312,519.3452758789062,None
127,2,708.777509,825.0853271484375,532.2900390625,None
128,1,708.842913,817.5723876953125,522.560546875,None
129,0,708.922758,825.5531005859375,523.6729736328125,None
130,3,708.991077,823.2911376953125,525.680419921875,None
131,2,709.054192,820.3350219726562,523.5902709960938,None
132,1,709.126073,826.906494140625,521.0885009765625,None
133,0,709.200758,820.2303466796875,522.90869140625,None
134,3,709.273374,827.8997192382812,524.2487182617188,None
135,2,709.338052,820.8116455078125,523.2440185546875,None
