3627.651178209: (None, None)
3627.651473942: (None, None)
3627.651606235: (None, None)
3627.857512747: (None, None)
3627.870622923: (None, None)
3627.871076054: (None, None)
3627.990345779: (None, None)
3628.117186439: (None, None)
3628.130701724: (None, None)
3628.235308232: (None, None)
3628.326236066: (None, None)
3628.42020316: (None, None)
3628.51566543: (None, None)
3628.607403744: (None, None)
3628.709648084: (677.031494140625, 107.20228576660156)
3628.80491483: (728.2733154296875, 215.39724731445312)
3628.898802339: (None, None)
3628.992577972: (None, None)
3629.10197996: (None, None)
3629.178076553: (None, None)
3629.272704281: (None, None)
3629.362024281: (None, None)
3629.450302235: (None, None)
3629.546279668: (None, None)
3629.634087565: (None, None)
3629.73048516: (None, None)
3629.823371301: (None, None)
3629.912929585: (None, None)
3630.007235016: (772.99072265625, 149.48687744140625)
3630.09555443: (802.459228515625, 191.52195739746094)
3630.185520948: (792.04345703125, 174.8748016357422)
3630.284470192: (715.9638061523438, 125.99040985107422)
3630.369195807: (700.5567626953125, 159.7574920654297)
3630.465803873: (None, None)
3630.552261126: (None, None)
3630.643796937: (None, None)
3630.738141795: (218.56614685058594, 543.8656616210938)
3630.824476234: (None, None)
3630.91513646: (None, None)
3631.010035232: (None, None)
3631.096844677: (None, None)
3631.189479461: (None, None)
3631.283592181: (None, None)
3631.373977559: (None, None)
3631.472109447: (None, None)
3631.568949495: (None, None)
3631.6615773: (None, None)
3631.749713169: (None, None)
3631.84484309: (None, None)
3631.936621976: (None, None)
3632.028530708: (None, None)
3632.117597839: (None, None)
3632.21116701: (None, None)
3632.307599031: (None, None)
3632.39351112: (None, None)
3632.492111817: (None, None)
3632.580511804: (None, None)
3632.669087105: (None, None)
3632.767954576: (None, None)
3632.854958763: (None, None)
3632.947028539: (None, None)
3633.043839211: (1089.5809326171875, 256.09649658203125)
3633.133324577: (None, None)
3633.228420122: (None, None)
3633.317758663: (None, None)
3633.407777629: (None, None)
3633.502959634: (723.633056640625, 405.9875183105469)
3633.590063562: (None, None)
3633.681061812: (None, None)
3633.77512375: (None, None)
3633.865342719: (None, None)
3633.962906734: (None, None)
3634.055450943: (None, None)
3634.139425401: (None, None)
3634.238728242: (None, None)
3634.322996454: (None, None)
3634.415145345: (None, None)
3634.510356829: (None, None)
3634.598690044: (None, None)
3634.698868105: (None, None)
3634.787360905: (None, None)
3634.876396056: (None, None)
3634.972079108: (None, None)
3635.060349353: (None, None)
3635.150715303: (None, None)
3635.246147415: (None, None)
3635.333571554: (None, None)
3635.425600235: (None, None)
3635.5187844: (None, None)
3635.608529925: (None, None)
3635.706327537: (None, None)
3635.796446192: (None, None)
3635.887857: (None, None)
3635.980794234: (None, None)
3636.070351214: (None, None)
3636.166932195: (None, None)
3636.257911278: (None, None)
3636.346754499: (None, None)
3636.444565757: (None, None)
3636.532506935: (None, None)
3636.626110115: (None, None)
3636.72006002: (None, None)
3636.807739371: (None, None)
3636.907622271: (None, None)
3636.991966473: (None, None)
3637.084694746: (None, None)
3637.179265231: (None, None)
3637.267988658: (629.1153564453125, 421.58294677734375)
3637.361837779: (623.264404296875, 394.56011962890625)
3637.459640599: (781.0233154296875, 386.6646423339844)
3637.548080846: (796.08154296875, 406.2853698730469)
3637.644813235: (815.504638671875, 376.608154296875)
3637.735520647: (None, None)
3637.826718379: (807.089111328125, 377.5808410644531)
3637.92061099: (877.171875, 394.3217468261719)
3638.0121356: (743.2344970703125, 365.311767578125)
3638.102595093: (881.6552734375, 383.1217041015625)
3638.199308106: (742.958251953125, 357.7873840332031)
3638.283811685: (754.8883666992188, 393.8746337890625)
3638.382844105: (718.0753173828125, 379.9680480957031)
3638.473562871: (875.4837646484375, 428.5629577636719)
3638.563018027: (727.7686157226562, 393.6626281738281)
3638.660179015: (716.2897338867188, 380.5935363769531)
3638.748121495: (713.1420288085938, 391.3704833984375)
3638.840337677: (None, None)
3638.937784346: (None, None)
3639.028763688: (None, None)
3639.123106514: (711.894287109375, 379.8653869628906)
3639.213753612: (715.98779296875, 377.478271484375)
3639.302543082: (718.662353515625, 382.24383544921875)
3639.397226016: (713.605224609375, 382.19805908203125)
3639.486413199: (None, None)
3639.584444824: (705.0986328125, 394.57611083984375)
3639.673793103: (None, None)
3639.766112411: (700.4971923828125, 384.3460388183594)
3639.858220206: (None, None)
3639.948612718: (709.5496215820312, 382.7111511230469)
3640.040075088: (None, None)
3640.138405675: (710.4415893554688, 385.5400085449219)
3640.225942002: (711.157470703125, 409.78509521484375)
3640.323005749: (717.151611328125, 384.8551940917969)
3640.410639474: (None, None)
3640.502459921: (None, None)
3640.599727837: (718.0615844726562, 387.1100158691406)
3640.687900007: (719.34619140625, 388.72674560546875)
3640.78418942: (716.39990234375, 394.72259521484375)
3640.878412348: (None, None)
3640.963793594: (None, None)
3641.065203649: (746.9283447265625, 426.6546630859375)
3641.154126297: (722.892333984375, 394.4319152832031)
3641.241326213: (None, None)
3641.335189813: (722.1721801757812, 390.5158996582031)
3641.426092904: (None, None)
3641.522064553: (None, None)
3641.610780427: (None, None)
3641.709076794: (718.9111938476562, 400.73358154296875)
3641.799546703: (725.0698852539062, 401.0992126464844)
3641.8929729: (718.4832153320312, 390.88897705078125)
3641.985337209: (818.1397094726562, 406.1407775878906)
3642.078586425: (717.3104248046875, 390.23236083984375)
3642.164267779: (None, None)
3642.2625405: (719.1852416992188, 394.628173828125)
3642.352080656: (None, None)
3642.441066169: (715.0528564453125, 390.36114501953125)
3642.535790145: (715.18505859375, 386.92938232421875)
3642.624041585: (715.3692016601562, 394.2121887207031)
3642.718627017: (None, None)
3642.809355522: (None, None)
3642.903308289: (None, None)
3643.000061927: (714.30078125, 390.2628173828125)
3643.088903271: (714.299072265625, 389.6962890625)
3643.184862628: (712.9214477539062, 389.9573669433594)
3643.274472524: (714.307373046875, 389.78521728515625)
3643.362730944: (None, None)
3643.463572449: (714.75537109375, 392.78509521484375)
3643.550499601: (None, None)
3643.649521134: (713.7171630859375, 390.1742858886719)
3643.73823982: (714.1707763671875, 391.04864501953125)
3643.827331741: (714.5220336914062, 389.137939453125)
3643.927574748: (None, None)
3644.012757866: (None, None)
3644.105090611: (None, None)
3644.199924743: (718.3814086914062, 391.1753845214844)
3644.292254051: (717.3906860351562, 396.62060546875)
3644.37875427: (719.37158203125, 389.0597839355469)
3644.474357788: (717.2094116210938, 394.2037353515625)
3644.566749232: (None, None)
3644.654553218: (None, None)
3644.748560361: (None, None)
3644.839617047: (715.3699340820312, 392.0378112792969)
3644.940702461: (715.778076171875, 389.0764465332031)
3645.02539427: (715.7654418945312, 392.2298583984375)
3645.11884479: (None, None)
3645.214893626: (715.6405029296875, 391.8011779785156)
3645.30635412: (None, None)
3645.402739523: (715.5231323242188, 393.00006103515625)
3645.494419498: (None, None)
3645.582491613: (724.4463500976562, 381.3746337890625)
3645.675635671: (None, None)
3645.765129784: (832.441162109375, 390.6802673339844)
3645.859724642: (None, None)
3645.950518095: (720.0572509765625, 390.8823547363281)
3646.037752178: (None, None)
3646.141384188: (717.46044921875, 393.43243408203125)
3646.223885395: (None, None)
3646.32155295: (719.6200561523438, 393.599853515625)
3646.410427576: (717.9627075195312, 393.6503601074219)
3646.498664484: (721.5125122070312, 394.67071533203125)
3646.587923125: (None, None)
3646.685720526: (None, None)
3646.772210901: (None, None)
3646.876805684: (713.0966186523438, 399.55804443359375)
3646.962032135: (716.722900390625, 395.4995422363281)
3647.05468254: (719.8272705078125, 402.9223327636719)
3647.148923227: (None, None)
3647.23973194: (None, None)
3647.331278788: (None, None)
3647.42769091: (804.0068969726562, 407.2320556640625)
3647.514925357: (None, None)
3647.617843139: (1000.526123046875, 341.942138671875)
3647.712942691: (1034.06591796875, 358.7254638671875)
3647.803843489: (1070.265625, 386.7994384765625)
3647.9027833: (1087.931884765625, 388.4803771972656)
3648.00560332: (1092.5477294921875, 378.738037109375)
3648.101156107: (1085.06884765625, 387.32989501953125)
3648.195356532: (None, None)
3648.297762952: (983.78515625, 395.2679138183594)
3648.392152026: (None, None)
3648.491443353: (854.0413818359375, 405.8279724121094)
3648.590133265: (772.224609375, 418.23590087890625)
3648.689145786: (681.0140380859375, 408.6159973144531)
3648.786988603: (None, None)
3648.884943297: (541.6620483398438, 397.8040771484375)
3648.983453259: (456.2435302734375, 416.8366394042969)
3649.078933389: (406.66571044921875, 409.50946044921875)
3649.177842679: (None, None)
3649.270429593: (None, None)
3649.365996338: (None, None)
3649.464308589: (None, None)
3649.567082305: (None, None)
3649.662909054: (347.43804931640625, 391.8079528808594)
3649.763411282: (None, None)
3649.858176037: (None, None)
3649.958955508: (None, None)
3650.055136741: (None, None)
3650.156167621: (None, None)
3650.253875124: (None, None)
3650.352518212: (None, None)
3650.452179439: (None, None)
3650.548682603: (None, None)
3650.646469326: (None, None)
3650.745039601: (None, None)
3650.842764135: (None, None)
3650.939671262: (None, None)
3651.037921584: (None, None)
3651.136850666: (543.187744140625, 362.1103210449219)
3651.237599407: (None, None)
4149.852147236: (None, None)
4149.852375268: (None, None)
4149.852492983: (None, None)
4150.12399228: (993.3031616210938, 209.9462127685547)
4150.12462424: (1004.7211303710938, 225.5326690673828)
4150.12507343: (993.3031616210938, 209.9462127685547)
4150.365360222: (None, None)
4150.384132238: (1037.9599609375, 265.21636962890625)
4150.38603067: (1136.0108642578125, 570.7169799804688)
4150.521844072: (1084.4891357421875, 273.6254577636719)
4150.700156502: (None, None)
4150.70059715: (1106.8370361328125, 295.1052551269531)
4150.802780159: (None, None)
4151.012834535: (1100.4466552734375, 279.9501953125)
4151.020676816: (1095.619384765625, 273.41229248046875)
4151.124369743: (1108.8548583984375, 265.36102294921875)
4151.261837076: (1125.9583740234375, 266.0447998046875)
4151.33446709: (None, None)
4151.447123293: (None, None)
4151.55869991: (None, None)
4151.665984897: (None, None)
4151.774071228: (None, None)
4151.883107445: (None, None)
4151.989446751: (None, None)
4152.107366917: (None, None)
4152.21567966: (None, None)
4152.322075271: (None, None)
4152.441837043: (None, None)
4152.547914357: (None, None)
4152.656928333: (None, None)
4152.773428061: (None, None)
4152.877014197: (None, None)
4152.984895139: (None, None)
4153.103611016: (1131.966796875, 304.60211181640625)
4153.201442324: (1107.9383544921875, 306.18359375)
4153.322754481: (1091.7701416015625, 317.24688720703125)
4153.430333011: (1069.28515625, 316.6839294433594)
4153.535804089: (1056.1746826171875, 326.1229553222656)
4153.652832639: (1057.0098876953125, 324.32012939453125)
4153.762782542: (1045.3787841796875, 309.78448486328125)
4153.880187979: (1048.980712890625, 328.1407165527344)
4153.988221421: (1057.0643310546875, 306.8182678222656)
4154.09573067: (1059.40283203125, 305.17327880859375)
4154.201107413: (1036.8958740234375, 316.0878601074219)
4154.323518109: (1036.3917236328125, 326.0940246582031)
4154.427198879: (1037.709228515625, 327.9365234375)
4154.535031582: (1041.65087890625, 320.82489013671875)
4154.652898397: (1047.8424072265625, 328.7801513671875)
4154.761421604: (1039.639892578125, 324.7117614746094)
4154.866652812: (1035.1951904296875, 323.0594482421875)
4154.976677548: (1033.0887451171875, 324.4736022949219)
4155.094611859: (1044.53759765625, 330.9532775878906)
4155.200729363: (1044.0052490234375, 320.0398254394531)
4155.310073699: (1037.4996337890625, 319.0667724609375)
4155.424727737: (1036.3917236328125, 315.5810852050781)
4155.531010144: (1046.052490234375, 326.044921875)
4155.641792732: (1045.49853515625, 335.93035888671875)
4155.744877006: (1035.2930908203125, 315.9895935058594)
4155.862994289: (1042.840576171875, 329.17816162109375)
4155.970735306: (1048.315185546875, 328.4659729003906)
4156.079587735: (1035.9949951171875, 313.9151306152344)
4156.194528863: (1044.3892822265625, 323.4363098144531)
4156.307926475: (1048.213623046875, 316.2519836425781)
4156.41026362: (1045.408203125, 323.7377014160156)
4156.517768063: (1046.2564697265625, 318.176025390625)
4156.635424956: (1041.8919677734375, 310.7724914550781)
4156.743170088: (1039.12841796875, 327.0294494628906)
4156.851324195: (1040.450927734375, 324.1748962402344)
4156.967317557: (1045.3846435546875, 317.1142272949219)
4157.073080706: (1043.318115234375, 320.29522705078125)
4157.183967399: (1038.6424560546875, 331.7775573730469)
4157.288606011: (1043.1669921875, 324.0601806640625)
4157.40809747: (1043.7496337890625, 319.8598327636719)
4157.515252929: (1036.31396484375, 312.99957275390625)
4157.6226958: (1039.583251953125, 332.49639892578125)
4157.738688641: (1040.3746337890625, 325.6828918457031)
4157.849279428: (1043.218505859375, 320.88055419921875)
